"created_at","text"
"Fri Nov 13 21:35:23 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 20:20:36 +0000 2015","RT @camfurr12: My boys are the ping pong state champs! #ATT @The_Rad_Brad @jamostennis7  @graysoncash37 @zhood3 @Cole_Underwood7"
"Fri Nov 13 22:42:05 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Sat Nov 14 00:05:40 +0000 2015","Trying to figure out the best cell phone plan is tiring. Why don't you come to me and tell me the best deal? @ATT @TMobileHelp @VerizonDeals"
"Sat Nov 14 01:28:36 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/kLXYfSFWzF"
"Fri Nov 13 21:36:45 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 18:16:21 +0000 2015","RT @TheAMAs: Tap ""Where Are Ü Now"" to vote @justinbieber @diplo &amp; @skrillex for #AMAs Collab of the Year Un-leashed by @TMobile. https://t.…"
"Fri Nov 13 19:05:48 +0000 2015","Should just terminate my contract with @sprint @sprintcare . Switch over to @verizon @VZWSupport They probably actually care about customers"
"Fri Nov 13 21:35:41 +0000 2015","@comcast if u guys aren't the worst internet in the fucking world id rather have dial up."
"Fri Nov 13 22:29:00 +0000 2015","Just got real free cell service with #ringplus https://t.co/9bPpNTmnrX Thanks @ringplusmobile and @CNET  - sorry #TMobile #Verizon #ATT"
"Fri Nov 13 20:57:12 +0000 2015","It took five and a half hours on hold and 87% of my phone battery, but I finally got through to @Comcast!!!!"
"Fri Nov 13 22:56:45 +0000 2015","@comcastcares QUIT DMing HER TO RESCHEDULE. QUIT GIVING HER MGR NUMBERS WHO NEVER PICK UP AND HAVE FULL VOICEMAILS. JUST. SHOW. UP."
"Fri Nov 13 21:12:52 +0000 2015","RT @meowth900: Been watching so much episodes of Rugrats on @hulu"
"Sat Nov 14 00:50:47 +0000 2015","Issac Duckett on Periscope: ""SlickChix signs Deal with #TMobile BIG Thanks to John Legere"" https://t.co/h1tmEVgr8T"
"Fri Nov 13 21:37:13 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 21:40:41 +0000 2015","RT @TheAMAs: Tap ""FourFiveSeconds"" to vote @rihanna+@kanyewest+@PaulMcCartney for #AMAs Collab of the Year Un-leashed by @TMobile https://t…"
"Sat Nov 14 00:06:48 +0000 2015","They offer a #customerexperience you won't forget @ArvestBank @henhousemarket @nothingbundt @Nordstrom @WholeFoods @VZWSupport #FF Thank you"
"Fri Nov 13 21:32:19 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 21:37:16 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 22:50:07 +0000 2015","Watch @Brittanysnow #cjwilson @ijustine @LilJon @SamRichardson @Zedd @DexterFowler #UncarrierX #TMobile #EventRecap https://t.co/8ErQmHSJaJ"
"Fri Nov 13 20:00:10 +0000 2015","5 Problems That #Parents With #SmartHome Technology Don’t Have &gt; https://t.co/8BghCsSzRU via @ATT https://t.co/Qx82HcmpWd"
"Fri Nov 13 21:47:39 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 21:43:08 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 22:28:42 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 23:42:43 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 22:12:33 +0000 2015","@ATTCares It's fine. I see how many ppl are fleeing to @TMobile &amp; I bet money is tight. Good luck to y'all. @JohnLegere treats me right."
"Fri Nov 13 22:00:21 +0000 2015","New @TMobile Backstage: Free download of @dj_torio ft @Polina #EverAfter at https://t.co/dErCoWYleZ #MusicFreedom https://t.co/NvbyJ5G4aJ"
"Fri Nov 13 19:25:47 +0000 2015","@IanJamesPoulter @ATT hey Ian, join the maddening crowd!"
"Fri Nov 13 21:46:55 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 20:38:51 +0000 2015","@TMobileHelp question. If I add 3 lines and choose two with 6gb and 1 with unlimited data is that family match price or regular?"
"Fri Nov 13 21:54:57 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Sat Nov 14 00:14:22 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 21:14:23 +0000 2015","#Pearly #Grey Tone #Enamel w/Pink, Red &amp; Green #Floral #Brass &amp; Enamel #Trinket #Dresser Pin #Dish Lid Made  #India https://t.co/OyarueMC67"
"Fri Nov 13 20:50:24 +0000 2015","RT @da4fail: Hey @cold_cut_manga, we recommend @TMobile for unlimited video streaming!  We know you love watching #MyLittlePony. https://t.…"
"Fri Nov 13 21:46:35 +0000 2015","RT @kcampbel46: @TMobile VB BLVD back in business #GDC #VB #EVO #biggerandbetter https://t.co/rJRmCe7JDV"
"Sat Nov 14 00:17:10 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Sat Nov 14 00:34:17 +0000 2015","Dear @ATTCares, if you guys do guys don't fix my bill... I will seek legal action!"
"Fri Nov 13 19:03:28 +0000 2015","Don't forget to stop by #TriCWest North Galleria for the @ATT @ItCanWait Driving Simulator today https://t.co/T4MbyllhEi"
"Fri Nov 13 18:23:17 +0000 2015","RT @EdwardTufte: #Verizon resurrects activation fees because you're not already giving it enough money https://t.co/m9RayGyj7w via @verge"
"Fri Nov 13 20:44:30 +0000 2015","Can somebody Thug Life meme this? I LOVED how pumped up he got on that one!!! #TMobile #BigWin #BillsMafia https://t.co/8wMFuAosWC"
"Fri Nov 13 23:03:11 +0000 2015","I love @DISH, and you will too!  Use code APP000196155 when you sign up and save $50! Visit https://t.co/qUF5sXcQRe to learn more"
"Fri Nov 13 20:50:41 +0000 2015","@verizon your cell coverage makes every other day for me, so now all I need is for y'all to #MakeMyGameDay #GoGators https://t.co/7lMWMajCMT"
"Fri Nov 13 20:25:21 +0000 2015","RT : StcTsdl: RT iFoodWorld: #foodphoto #food #chef #dish #foodeat #foodinlove #cook Bacon cheddar biscuits https://t.co/Rlj1wSFNbS"
"Fri Nov 13 22:42:20 +0000 2015","RT @JohnLegere: Yep!  @Samsung #GearVR is coming to @TMobile!! https://t.co/j7wLUm3QRQ"
"Fri Nov 13 21:14:22 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/PnNKr72TFi"
"Sat Nov 14 01:25:30 +0000 2015","@comcastcares after few phone calls already got it worked, thanks :)"
"Fri Nov 13 22:55:04 +0000 2015","S/O To @comcast @comcastcares  For Having Me On The Phone For 30Mins And Still Didn't Pick Worst Customer Service ??"
